scorer,DLC_resnet50_surgical_tool_trackingMar23shuffle1_100000,DLC_resnet50_surgical_tool_trackingMar23shuffle1_100000,DLC_resnet50_surgical_tool_trackingMar23shuffle1_100000,DLC_resnet50_surgical_tool_trackingMar23shuffle1_100000,DLC_resnet50_surgical_tool_trackingMar23shuffle1_100000,DLC_resnet50_surgical_tool_trackingMar23shuffle1_100000,DLC_resnet50_surgical_tool_trackingMar23shuffle1_100000,DLC_resnet50_surgical_tool_trackingMar23shuffle1_100000,DLC_resnet50_surgical_tool_trackingMar23shuffle1_100000
bodyparts,arm0,arm0,arm0,arm1,arm1,arm1,joint,joint,joint
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,432.87591552734375,352.04925537109375,0.9996218681335449,447.34423828125,351.61688232421875,0.9996412992477417,439.1718444824219,194.2430419921875,0.9999234676361084
1,558.4182739257812,471.8473815917969,0.9999817609786987,626.8699340820312,437.7433776855469,0.9999855756759644,561.3195190429688,312.57586669921875,0.9999022483825684
2,555.6594848632812,392.9394226074219,0.999944806098938,601.0846557617188,389.0072326660156,0.999984622001648,571.813232421875,236.59384155273438,0.9992746710777283
3,541.1503295898438,704.4888305664062,0.9999426603317261,563.110107421875,673.4063110351562,0.9999916553497314,488.3235168457031,565.15869140625,0.999911904335022
4,439.51220703125,443.980712890625,0.9999480247497559,503.2467346191406,424.30267333984375,0.999991774559021,451.5352478027344,285.9342346191406,0.9999314546585083
5,417.5638427734375,251.44288635253906,0.9999717473983765,482.0416259765625,229.90933227539062,0.9999947547912598,430.1958312988281,92.78707885742188,0.9996887445449829
6,570.3180541992188,467.4465637207031,0.9999693632125854,604.9945068359375,474.33306884765625,0.9998533725738525,602.7817993164062,316.7409362792969,0.9996455907821655
7,426.5652770996094,394.8725280761719,0.9988930821418762,440.311279296875,387.5477600097656,0.9999027252197266,400.8565673828125,241.64649963378906,0.9998998641967773
8,581.4462890625,472.77642822265625,0.9997863173484802,620.1469116210938,547.6919555664062,0.9999083280563354,661.9251708984375,402.8194274902344,0.999940037727356
9,433.273681640625,498.3938293457031,0.9999903440475464,481.13690185546875,465.0238952636719,0.9999760389328003,413.2250061035156,340.9303283691406,0.9998807907104492
10,393.935791015625,375.0902099609375,0.9998781681060791,432.8419189453125,418.3462829589844,0.999967098236084,460.3565368652344,265.671630859375,0.9995995163917542
11,421.77874755859375,268.7465515136719,0.999954342842102,460.99609375,311.1488037109375,0.9999252557754517,490.2835998535156,158.72390747070312,0.9996594190597534
12,542.734130859375,506.3497619628906,0.9999245405197144,577.2639770507812,541.2269897460938,0.9999710321426392,615.349609375,392.0735778808594,0.9998831748962402
13,352.52166748046875,399.3083801269531,0.9999786615371704,407.4165954589844,406.5841369628906,0.9999949932098389,389.8425598144531,250.92494201660156,0.9999371767044067
14,443.6123962402344,249.0022430419922,0.9998924732208252,523.7095336914062,265.3409423828125,0.9997655749320984,494.5056457519531,113.59855651855469,0.99980229139328
15,536.2162475585938,620.893798828125,0.9995747208595276,604.1019287109375,678.7512817382812,0.999906063079834,613.0904541015625,523.0211791992188,0.9999316930770874
16,389.24267578125,289.9571228027344,0.9999887943267822,437.6568603515625,265.15716552734375,0.9999890327453613,378.95806884765625,130.4364776611328,0.9998430013656616
17,400.0020446777344,323.2093200683594,0.9999947547912598,448.1546325683594,298.6490478515625,0.9998915195465088,389.0467529296875,164.91026306152344,0.9999690055847168
18,605.6995849609375,530.5208129882812,0.9999797344207764,650.6267700195312,532.427978515625,0.9999754428863525,633.8883666992188,376.0960998535156,0.9996991157531738
19,418.7908020019531,446.4388427734375,0.9999691247940063,444.8690490722656,440.005126953125,0.9999324083328247,413.2101745605469,288.49066162109375,0.9997270703315735
20,557.0794067382812,349.6167907714844,0.9998179078102112,592.564453125,357.02972412109375,0.9999943971633911,591.4409790039062,198.2556915283203,0.9999257326126099
21,393.6485900878906,349.28125,0.9998194575309753,420.9313659667969,351.9103698730469,0.9999674558639526,412.9391174316406,193.48094177246094,0.9997707009315491
22,502.1311340332031,617.065185546875,0.9999269247055054,587.5697021484375,614.275146484375,0.9999406337738037,543.2747192382812,468.9291076660156,0.9999178647994995
23,577.5531616210938,441.89984130859375,0.9999707937240601,662.98193359375,438.5710144042969,0.9999878406524658,617.6742553710938,292.9064025878906,0.999893307685852
24,464.9336242675781,671.1734008789062,0.9999648332595825,524.6882934570312,660.3724975585938,0.9999697208404541,482.66949462890625,515.0780639648438,0.999969482421875
25,460.1932373046875,422.5682067871094,0.9999533891677856,541.5716552734375,396.34423828125,0.9992141723632812,479.62066650390625,267.0028381347656,0.9997065663337708
26,380.8525695800781,353.4572448730469,0.9993127584457397,471.21966552734375,371.5697937011719,0.9999755620956421,438.4611511230469,220.62062072753906,0.9999080896377563
27,593.3287353515625,484.61785888671875,0.9999942779541016,631.7667236328125,419.1570739746094,0.9999521970748901,551.13916015625,338.5546569824219,0.9999140501022339
28,508.1936950683594,591.4014282226562,0.9998582601547241,536.5513305664062,590.4290771484375,0.9998319149017334,517.4830322265625,434.1991882324219,0.999946117401123
29,577.7215576171875,342.84588623046875,0.9999973773956299,607.40185546875,340.2275695800781,0.9999898672103882,587.1442260742188,182.7352752685547,0.9998641014099121
30,499.5018615722656,702.5657348632812,0.9999715089797974,528.2918090820312,692.1157836914062,0.999994158744812,485.75030517578125,545.6341552734375,0.9999291896820068
31,445.0824890136719,366.6508483886719,0.9997866749763489,476.4132995605469,381.286376953125,0.9997847676277161,492.9986572265625,225.4916229248047,0.9998098015785217
32,479.9321594238281,347.6256103515625,0.9999417066574097,505.6585693359375,296.46099853515625,0.9997171759605408,427.39801025390625,208.52267456054688,0.9996664524078369
33,604.2366943359375,429.0675964355469,0.999783456325531,640.490478515625,447.8852233886719,0.9999611377716064,655.6026000976562,291.4560241699219,0.9998905658721924
34,407.0743713378906,426.42041015625,0.9994213581085205,424.8049011230469,427.79327392578125,0.9994189739227295,427.26129150390625,270.58734130859375,0.9993701577186584
35,341.99761962890625,477.4004821777344,0.9997115731239319,358.1768798828125,479.04791259765625,0.999603807926178,360.01220703125,321.98016357421875,0.9998414516448975
36,486.3106384277344,358.22747802734375,0.9999730587005615,507.53045654296875,364.0993347167969,0.9996539354324341,522.4658203125,207.19508361816406,0.9996317625045776
37,464.27801513671875,311.98223876953125,0.9999772310256958,540.0691528320312,341.8312072753906,0.9999558925628662,527.844970703125,185.25816345214844,0.9998055100440979
38,595.1941528320312,713.9407348632812,0.9999901056289673,668.4124145507812,709.3602294921875,0.9999403953552246,629.6843872070312,563.4736938476562,0.9999523162841797
39,305.208251953125,277.77532958984375,0.9999951124191284,338.1675720214844,322.39666748046875,0.9999806880950928,378.4062194824219,175.18698120117188,0.9995773434638977
40,591.8648681640625,269.09979248046875,0.9998844861984253,676.3707885742188,240.61825561523438,0.9999589920043945,612.9894409179688,114.30718994140625,0.9999402761459351
41,595.0462646484375,267.8008117675781,0.9999686479568481,679.959228515625,239.5467529296875,0.9998250603675842,615.689697265625,113.0905532836914,0.9998430013656616
42,433.1522521972656,603.616455078125,0.9999604225158691,489.40521240234375,594.7469482421875,0.9999575614929199,450.14581298828125,446.6827087402344,0.9998958110809326
43,554.70654296875,585.5565185546875,0.9999138116836548,634.9517211914062,566.7315673828125,0.9999368190765381,579.596923828125,430.7397766113281,0.999919056892395
44,321.2931213378906,186.83534240722656,0.9999614953994751,348.4916687011719,210.42080688476562,0.9999605417251587,386.3172607421875,62.1942138671875,0.9998855590820312
45,687.5353393554688,404.6983337402344,0.9999566078186035,723.3389892578125,323.1859130859375,0.9999749660491943,643.3958740234375,259.68609619140625,0.9999698400497437
46,412.37969970703125,504.1664733886719,0.9999521970748901,462.1490173339844,528.4295654296875,0.9999123811721802,469.89703369140625,370.7338562011719,0.9999641180038452
47,337.8127746582031,682.1983642578125,0.999972939491272,389.3002624511719,707.1233520507812,0.9999923706054688,396.08441162109375,547.9409790039062,0.9998847246170044
48,485.1742858886719,192.65676879882812,0.9999780654907227,511.64422607421875,188.83592224121094,0.9999358654022217,491.7611999511719,33.600223541259766,0.9997175335884094
49,483.924072265625,443.11175537109375,0.9997937083244324,526.67822265625,517.7288208007812,0.9999692440032959,565.5118408203125,369.381591796875,0.9999297857284546
50,425.9784851074219,588.3223266601562,0.9997908473014832,490.45379638671875,586.4107055664062,0.9997876286506653,456.3879699707031,435.85418701171875,0.9999161958694458
51,573.9322509765625,180.18385314941406,0.9999840259552002,616.6876831054688,117.33511352539062,0.9999089241027832,540.1045532226562,29.33199119567871,0.9989818930625916
52,543.6262817382812,417.447265625,0.9999593496322632,586.556884765625,353.74951171875,0.9998801946640015,509.7666931152344,266.8749084472656,0.9993880987167358
53,663.7346801757812,314.85546875,0.9999700784683228,686.097900390625,271.0448303222656,0.9997861981391907,608.5505981445312,177.50537109375,0.9998595714569092
54,458.5377502441406,462.7123107910156,0.9998290538787842,511.0017395019531,444.1001892089844,0.9998623132705688,459.496826171875,304.5301513671875,0.9997779726982117
55,430.0100402832031,409.0727233886719,0.9997472167015076,458.3212585449219,475.8855285644531,0.9992626309394836,509.2624206542969,336.97369384765625,0.9998140931129456
56,447.3193664550781,449.05987548828125,0.9999494552612305,510.63623046875,405.6742858886719,0.9999463558197021,441.0616455078125,290.12237548828125,0.9998605251312256
57,466.1882629394531,360.3313903808594,0.9999532699584961,533.7206420898438,418.72113037109375,0.9999767541885376,545.186279296875,260.8001403808594,0.9999605417251587
58,532.8344116210938,197.19720458984375,0.9999679327011108,600.8304443359375,255.23123168945312,0.9995749592781067,612.0663452148438,98.36123657226562,0.9999439716339111
59,366.0367126464844,697.1700439453125,0.9997430443763733,447.9180603027344,712.913818359375,0.9999637603759766,420.6356201171875,560.5362548828125,0.9999101161956787
60,526.5234375,361.4776916503906,0.9999805688858032,585.021728515625,378.2729187011719,0.9999183416366577,577.7692260742188,220.52670288085938,0.999919056892395
61,465.55609130859375,301.06793212890625,0.9999568462371826,514.499755859375,243.7253875732422,0.9999798536300659,437.2385559082031,147.62672424316406,0.9999566078186035
62,598.2457885742188,440.9736328125,0.9999372959136963,618.7188110351562,430.84075927734375,0.9997765421867371,572.375,286.54266357421875,0.999359667301178
63,462.505126953125,713.2908935546875,0.999953031539917,490.3230285644531,695.1591796875,0.9999580383300781,435.10498046875,559.5048828125,0.9998866319656372
64,476.6231994628906,433.7811279296875,0.9999643564224243,502.7626647949219,418.150390625,0.9999860525131226,447.4893798828125,280.2264099121094,0.9998601675033569
65,543.8099975585938,571.6573486328125,0.9999312162399292,598.8154296875,601.9985961914062,0.9999696016311646,607.3060302734375,445.0853271484375,0.9997461438179016
66,509.20159912109375,330.0816345214844,0.9998871088027954,539.6906127929688,331.7828369140625,0.9997871518135071,528.8012084960938,173.9696807861328,0.9998409748077393
67,540.081787109375,590.1698608398438,0.999893307685852,565.129150390625,524.1747436523438,0.9998738765716553,485.9571228027344,454.3258972167969,0.9999463558197021
68,487.3980712890625,536.3922729492188,0.9999548196792603,510.53375244140625,539.6929321289062,0.9998189806938171,514.1183471679688,381.81878662109375,0.999900221824646
69,448.1335144042969,363.1007385253906,0.9999258518218994,468.87530517578125,295.2117004394531,0.9999167919158936,395.0221862792969,226.02825927734375,0.9998371601104736
70,470.31378173828125,120.54298400878906,0.9999953508377075,491.9692687988281,51.940792083740234,0.9994207620620728,413.05328369140625,-2.6737704277038574,0.04224064573645592
71,531.3356323242188,594.0861206054688,0.9999927282333374,559.1370849609375,596.9850463867188,0.9999884366989136,552.48193359375,438.8526916503906,0.9998564720153809
72,544.4033203125,436.8868408203125,0.9999927282333374,569.8800048828125,413.5812683105469,0.9998503923416138,504.2400207519531,288.830322265625,0.9997883439064026
73,401.4772033691406,337.7742919921875,0.9999958276748657,466.91326904296875,345.3168640136719,0.9999873638153076,443.32305908203125,191.16929626464844,0.9995960593223572
74,654.5289306640625,672.5076293945312,0.9999310970306396,724.3462524414062,633.2636108398438,0.9999487400054932,656.5712280273438,514.8248901367188,0.9999464750289917
75,291.1206359863281,122.99598693847656,0.9998382329940796,372.32666015625,159.99716186523438,0.9998887777328491,358.70379638671875,4.103938102722168,0.9889206290245056
76,346.8192443847656,355.4830322265625,0.9998515844345093,426.21160888671875,390.75384521484375,0.9999115467071533,411.6398010253906,233.27093505859375,0.9995254278182983
77,668.6986694335938,197.50384521484375,0.9999897480010986,686.5267333984375,152.0829315185547,0.999916672706604,607.5448608398438,66.05374145507812,0.9998595714569092
78,356.8914794921875,715.3497924804688,0.9999163150787354,379.4674072265625,716.415283203125,0.9997144341468811,372.9180908203125,558.6795654296875,0.9999263286590576
79,492.6390075683594,355.2282409667969,0.9998366832733154,508.7129211425781,356.72015380859375,0.9998973608016968,506.029052734375,198.56509399414062,0.999768078327179
80,506.7577819824219,496.9350280761719,0.9998094439506531,577.6160888671875,535.0328979492188,0.9999918937683105,569.7982177734375,376.4214172363281,0.9996224641799927
81,390.0946350097656,247.01466369628906,0.9999939203262329,423.0650634765625,254.40029907226562,0.9999747276306152,425.8586730957031,96.07200622558594,0.9996248483657837
82,453.3174133300781,461.81524658203125,0.9999722242355347,485.4481506347656,469.60931396484375,0.999997615814209,487.8625793457031,311.1081237792969,0.9998916387557983
83,562.6360473632812,281.9738464355469,0.9999803304672241,642.6768798828125,264.17974853515625,0.9999783039093018,588.7725219726562,126.9705581665039,0.9994910955429077
84,427.77520751953125,348.93353271484375,0.999850869178772,479.2992248535156,373.1407775878906,0.9999933242797852,484.41265869140625,214.9570770263672,0.9999555349349976
85,470.31427001953125,451.5400085449219,0.9999780654907227,536.170654296875,480.9889221191406,0.9999723434448242,532.2667236328125,322.93597412109375,0.9999749660491943
86,472.62982177734375,565.624267578125,0.9999152421951294,564.54248046875,554.1866455078125,0.9999046325683594,510.9045715332031,417.78912353515625,0.9998012185096741
87,548.9713134765625,406.5740661621094,0.9999771118164062,566.79052734375,390.1210021972656,0.9999741315841675,501.18719482421875,266.307861328125,0.9999209642410278
88,524.3645629882812,467.7734680175781,0.9999381303787231,539.1849975585938,450.6641540527344,0.9999297857284546,473.202392578125,326.2647399902344,0.9998257756233215
89,545.5958251953125,416.678955078125,0.9999892711639404,597.909912109375,402.902099609375,0.9999970197677612,554.1087036132812,258.07073974609375,0.9998059868812561
