scorer,DLC_mobnet_100_surgical_tool_trackingMar23shuffle1_100000,DLC_mobnet_100_surgical_tool_trackingMar23shuffle1_100000,DLC_mobnet_100_surgical_tool_trackingMar23shuffle1_100000,DLC_mobnet_100_surgical_tool_trackingMar23shuffle1_100000,DLC_mobnet_100_surgical_tool_trackingMar23shuffle1_100000,DLC_mobnet_100_surgical_tool_trackingMar23shuffle1_100000,DLC_mobnet_100_surgical_tool_trackingMar23shuffle1_100000,DLC_mobnet_100_surgical_tool_trackingMar23shuffle1_100000,DLC_mobnet_100_surgical_tool_trackingMar23shuffle1_100000
bodyparts,arm0,arm0,arm0,arm1,arm1,arm1,joint,joint,joint
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,432.36553955078125,351.4378967285156,0.9995619654655457,444.0484619140625,349.89471435546875,0.99839848279953,437.4983215332031,191.34832763671875,0.9999674558639526
1,559.9378662109375,469.70733642578125,0.9999278783798218,624.2572631835938,436.2868957519531,0.9999517202377319,560.1792602539062,311.1097717285156,0.9999780654907227
2,554.1281127929688,391.5043640136719,0.9999481439590454,599.61572265625,387.77496337890625,0.9999186992645264,569.9999389648438,233.2786407470703,0.9997814297676086
3,539.8368530273438,703.4950561523438,0.9995869994163513,560.0570068359375,671.0489501953125,0.9997342228889465,486.53607177734375,564.8104858398438,0.999987006187439
4,438.7475891113281,441.56024169921875,0.9999750852584839,500.914794921875,421.63323974609375,0.9999624490737915,448.7893371582031,283.033203125,0.9998958110809326
5,418.8454284667969,249.45130920410156,0.999964714050293,479.7131652832031,227.03402709960938,0.9999452829360962,428.28192138671875,89.02403259277344,0.9996747970581055
6,568.6439208984375,466.6011962890625,0.999981164932251,601.677001953125,474.190185546875,0.9996525049209595,600.7808837890625,314.1171875,0.99982750415802
7,425.8897399902344,394.0177307128906,0.999477207660675,438.7219543457031,388.6932373046875,0.9994471669197083,398.260986328125,237.9293975830078,0.9997678399085999
8,581.5346069335938,470.396728515625,0.9999676942825317,618.4336547851562,547.6180419921875,0.9992119073867798,660.1771850585938,399.2630920410156,0.9999752044677734
9,434.9505615234375,496.7279357910156,0.9999654293060303,478.9893798828125,462.0993347167969,0.9996101260185242,412.80963134765625,339.9273681640625,0.9999376535415649
10,392.2467346191406,372.8970947265625,0.9999769926071167,431.4997863769531,416.1723327636719,0.9998987913131714,459.9691467285156,262.64306640625,0.9998225569725037
11,421.28253173828125,266.608642578125,0.9999322891235352,459.737548828125,309.9115295410156,0.9997518658638,487.24371337890625,154.4844207763672,0.9998791217803955
12,541.7839965820312,503.3056640625,0.9997557997703552,576.6765747070312,539.7933349609375,0.999692440032959,613.8948974609375,390.14947509765625,0.9999847412109375
13,352.94183349609375,397.8370361328125,0.9997697472572327,405.6655578613281,404.315185546875,0.9999592304229736,387.8655090332031,247.06655883789062,0.9999850988388062
14,441.8533020019531,248.19996643066406,0.9999455213546753,522.2330322265625,266.0700378417969,0.9997225403785706,492.97412109375,110.39996337890625,0.99967360496521
15,535.7097778320312,619.2345581054688,0.9998119473457336,602.27783203125,679.3056640625,0.9997841715812683,610.5227661132812,520.566650390625,0.9999737739562988
16,390.5008850097656,288.4681091308594,0.9999858140945435,435.6351013183594,263.2351989746094,0.9999567270278931,376.7882080078125,128.30902099609375,0.9999185800552368
17,402.2483215332031,321.7677001953125,0.9999675750732422,445.37127685546875,296.4626159667969,0.9998483657836914,387.5741271972656,162.3369903564453,0.9999920129776001
18,605.9105224609375,528.5100708007812,0.9998772144317627,647.6467895507812,532.4127807617188,0.9999194145202637,632.0021362304688,374.5821228027344,0.9999704360961914
19,419.28302001953125,446.4801025390625,0.9999256134033203,442.58367919921875,440.72760009765625,0.9997119307518005,412.4681396484375,285.0376892089844,0.9993993043899536
20,555.450927734375,347.4434509277344,0.9996402263641357,588.8575439453125,355.738525390625,0.9999241828918457,590.2700805664062,197.16517639160156,0.9999713897705078
21,393.4735412597656,348.14306640625,0.9997937083244324,416.8028564453125,349.5888977050781,0.9998358488082886,412.5071716308594,190.0455780029297,0.9996047616004944
22,502.2038269042969,615.51025390625,0.9999836683273315,585.990966796875,613.6444091796875,0.9997900128364563,541.3117065429688,468.5246276855469,0.9999592304229736
23,577.94580078125,440.17523193359375,0.9999653100967407,660.62060546875,436.4042053222656,0.9999576807022095,616.6084594726562,291.6385803222656,0.9999696016311646
24,465.2024230957031,670.5491943359375,0.9998767375946045,523.3746337890625,659.5039672851562,0.9997721314430237,481.0280456542969,513.4098510742188,0.999983549118042
25,458.2147521972656,421.4656982421875,0.999969482421875,540.2757568359375,394.889892578125,0.9994902610778809,477.93817138671875,263.80133056640625,0.9999240636825562
26,379.28399658203125,351.9613037109375,0.9997221827507019,469.2265625,369.5981140136719,0.9998970031738281,436.3092956542969,217.1030731201172,0.9999654293060303
27,594.2644653320312,483.1960144042969,0.9998912811279297,630.1463623046875,416.8263244628906,0.9998044371604919,549.8139038085938,335.5614013671875,0.9999679327011108
28,506.5787658691406,590.6360473632812,0.9998730421066284,535.0359497070312,588.5810546875,0.999482274055481,515.604736328125,431.8157653808594,0.9999810457229614
29,578.7013549804688,340.6043395996094,0.9999711513519287,604.4715576171875,338.02764892578125,0.9998654127120972,586.3486328125,180.84840393066406,0.999910831451416
30,499.3705139160156,702.574951171875,0.9999485015869141,525.2568969726562,689.298095703125,0.999869704246521,483.8813171386719,544.6746215820312,0.9999862909317017
31,443.7786560058594,365.3094482421875,0.9995177984237671,473.51947021484375,380.7417907714844,0.9991682767868042,492.81378173828125,223.10153198242188,0.9997242093086243
32,479.644287109375,345.71832275390625,0.9980148077011108,504.4937438964844,295.4831237792969,0.9997380375862122,426.6597900390625,205.3214874267578,0.9994716048240662
33,602.7372436523438,427.0050048828125,0.9996789693832397,638.5123291015625,445.8694763183594,0.999785840511322,654.2073974609375,288.93609619140625,0.9999489784240723
34,406.26275634765625,424.3097229003906,0.9999562501907349,421.2015075683594,426.9325256347656,0.9984009861946106,425.86090087890625,267.1595764160156,0.9996819496154785
35,340.1230773925781,476.1820373535156,0.9997668862342834,354.97528076171875,478.2043151855469,0.9996798038482666,359.1757507324219,319.37176513671875,0.9999469518661499
36,486.63232421875,356.8508605957031,0.9999796152114868,504.89508056640625,363.73663330078125,0.9989093542098999,521.1456909179688,204.56578063964844,0.9997257590293884
37,464.1204528808594,309.4685363769531,0.9999172687530518,539.2227172851562,341.59649658203125,0.9998018145561218,526.3494262695312,183.1421356201172,0.9999514818191528
38,596.23828125,712.4969482421875,0.9999812841415405,666.87939453125,709.6890869140625,0.9998365640640259,628.4354858398438,561.6394653320312,0.9999910593032837
39,304.4797058105469,275.0122375488281,0.9999243021011353,336.89501953125,319.6681823730469,0.9999160766601562,377.0743713378906,172.6348419189453,0.999748170375824
40,591.5489501953125,267.1418151855469,0.999650239944458,674.3009033203125,238.64878845214844,0.999782145023346,610.8440551757812,110.32572937011719,0.9999637603759766
41,595.3621215820312,267.4289855957031,0.9999309778213501,677.4395751953125,238.02532958984375,0.9996767044067383,613.6410522460938,109.93102264404297,0.999929666519165
42,433.4542541503906,601.8335571289062,0.9999388456344604,487.52069091796875,592.8252563476562,0.9998857975006104,449.00262451171875,445.0135803222656,0.9998674392700195
43,553.2925415039062,584.6083984375,0.9999568462371826,632.635498046875,565.9633178710938,0.9998421669006348,577.498779296875,429.3229064941406,0.9999173879623413
44,320.4488525390625,184.32310485839844,0.9999344348907471,347.1139221191406,209.19468688964844,0.9994539618492126,385.4656677246094,59.1790771484375,0.999873161315918
45,687.28955078125,402.84954833984375,0.9997102618217468,720.12890625,320.5444641113281,0.9998385906219482,641.5764770507812,257.0898132324219,0.999984860420227
46,410.8182067871094,502.41265869140625,0.9999227523803711,460.7667236328125,526.7424926757812,0.9996904134750366,468.3672180175781,369.2213439941406,0.9999899864196777
47,338.58502197265625,680.1439819335938,0.999976634979248,386.8953857421875,704.8020629882812,0.9999593496322632,394.4567565917969,547.7337646484375,0.9999145269393921
48,486.01409912109375,190.9714813232422,0.9999661445617676,509.7771301269531,188.3912353515625,0.9995858073234558,491.55487060546875,30.36319923400879,0.999556839466095
49,483.0808410644531,442.3221130371094,0.9998788833618164,525.2651977539062,515.5324096679688,0.9997792840003967,563.1315307617188,367.3569030761719,0.9999794960021973
50,425.0919189453125,586.9871215820312,0.9998525381088257,489.2679748535156,586.6888427734375,0.999652624130249,455.0184020996094,433.68536376953125,0.9999825954437256
51,573.9217529296875,178.39111328125,0.9998825788497925,616.1301879882812,116.34292602539062,0.9998314380645752,539.3088989257812,25.16950035095215,0.9990237951278687
52,542.5493774414062,415.8155212402344,0.9998015761375427,585.5439453125,351.2480773925781,0.9988627433776855,508.6042785644531,263.6053466796875,0.9998852014541626
53,663.28125,313.4976501464844,0.9997767806053162,685.4783935546875,268.2465515136719,0.9992469549179077,606.6046752929688,174.80181884765625,0.9999074935913086
54,458.1246643066406,461.7864074707031,0.9998482465744019,508.7283630371094,442.6593933105469,0.9996654987335205,457.51812744140625,301.8306884765625,0.9996727705001831
55,429.13031005859375,406.7829284667969,0.9995959401130676,457.6639099121094,475.45941162109375,0.9981766939163208,508.400634765625,335.3485412597656,0.9997621178627014
56,447.89044189453125,446.09405517578125,0.9997075200080872,508.65960693359375,404.74169921875,0.9997616410255432,439.1858825683594,287.89892578125,0.9999551773071289
57,466.21087646484375,358.29388427734375,0.9999579191207886,531.6221313476562,416.3064270019531,0.9998953342437744,543.8726806640625,259.0809020996094,0.9999841451644897
58,533.40673828125,195.0806427001953,0.9999655485153198,597.8143920898438,253.6113739013672,0.9997196793556213,609.8416137695312,94.6680679321289,0.9999626874923706
59,363.9254455566406,695.6524658203125,0.9998093247413635,445.7768249511719,711.8500366210938,0.9999053478240967,418.3446350097656,559.1677856445312,0.999972939491272
60,526.5701904296875,358.9755859375,0.9998588562011719,582.1773681640625,377.2018737792969,0.9998857975006104,575.8033447265625,217.99241638183594,0.9999219179153442
61,465.8061828613281,299.2213134765625,0.9996046423912048,511.30181884765625,241.20053100585938,0.9998816251754761,435.238525390625,144.45716857910156,0.9999850988388062
62,599.6685791015625,440.49700927734375,0.9998927116394043,616.167236328125,429.8096008300781,0.9981582760810852,571.5321655273438,284.07830810546875,0.9992555975914001
63,464.50506591796875,711.7672119140625,0.9996371269226074,487.6854553222656,694.3260498046875,0.9997915625572205,432.7140808105469,557.8847045898438,0.9999270439147949
64,475.79461669921875,433.4798278808594,0.9998648166656494,500.0709228515625,415.4211730957031,0.999812662601471,446.0561828613281,278.00994873046875,0.9999589920043945
65,542.4784545898438,568.3789672851562,0.9998375177383423,597.044189453125,601.0296020507812,0.9999208450317383,605.376953125,442.5406188964844,0.9995369911193848
66,509.0589294433594,328.0606384277344,0.9997383952140808,537.7776489257812,331.0341491699219,0.9995899796485901,527.9712524414062,171.03269958496094,0.999810516834259
67,538.6166381835938,589.7622680664062,0.9995788931846619,563.12841796875,521.864501953125,0.9998255372047424,484.338623046875,452.14227294921875,0.9999912977218628
68,488.45343017578125,534.80517578125,0.9999738931655884,508.5743713378906,538.7295532226562,0.9994480013847351,512.6275634765625,378.95196533203125,0.9998348951339722
69,447.7077941894531,361.4703369140625,0.9989985823631287,466.79022216796875,293.970703125,0.9999513626098633,393.906005859375,222.89459228515625,0.9996349811553955
70,470.6119689941406,118.54762268066406,0.9999512434005737,491.8362731933594,54.720069885253906,0.9958517551422119,425.1192626953125,-5.735773086547852,0.28068336844444275
71,531.02587890625,592.7144775390625,0.999954342842102,556.5713500976562,594.6300048828125,0.9999018907546997,551.3975219726562,435.86968994140625,0.9999827146530151
72,546.5858764648438,435.0033874511719,0.9999281167984009,568.0879516601562,410.9355773925781,0.999320387840271,501.8664245605469,286.3590087890625,0.9999470710754395
73,402.75927734375,337.5533752441406,0.9999631643295288,464.0875549316406,344.4499816894531,0.999946117401123,442.0545959472656,188.8486328125,0.9996604919433594
74,654.4140014648438,670.7839965820312,0.999840259552002,723.166259765625,631.79345703125,0.9999446868896484,654.783935546875,513.5244750976562,0.9999704360961914
75,290.2639465332031,120.1644058227539,0.9999486207962036,370.26214599609375,157.49951171875,0.9996341466903687,359.40057373046875,1.2645282745361328,0.9643577933311462
76,345.0803527832031,353.69482421875,0.9999417066574097,425.0104064941406,390.90838623046875,0.9997449517250061,410.7602844238281,231.50379943847656,0.9998007416725159
77,666.1798095703125,196.11544799804688,0.999909520149231,684.4683837890625,149.44737243652344,0.999744713306427,605.7813110351562,62.436614990234375,0.9998175501823425
78,357.1042175292969,714.2605590820312,0.9999477863311768,376.304443359375,716.2698974609375,0.9991497993469238,370.7127685546875,557.8484497070312,0.9999492168426514
79,490.77862548828125,355.2332458496094,0.9999254941940308,506.4808654785156,356.94476318359375,0.9997406601905823,504.4833679199219,195.95846557617188,0.9999696016311646
80,505.143310546875,495.455078125,0.9998342990875244,574.9031982421875,533.8599853515625,0.9999464750289917,568.1676635742188,375.4294128417969,0.9999570846557617
81,390.7275390625,245.78350830078125,0.9999872446060181,420.6119384765625,252.95651245117188,0.999804675579071,424.1439208984375,92.35348510742188,0.99980229139328
82,453.3714599609375,461.39105224609375,0.9998992681503296,482.4466857910156,467.70416259765625,0.9999700784683228,486.4747619628906,308.30462646484375,0.9999889135360718
83,563.2489013671875,280.3187561035156,0.9999773502349854,640.4147338867188,263.07708740234375,0.9999496936798096,588.2962646484375,123.53164672851562,0.9993396401405334
84,425.9839172363281,346.8764953613281,0.9996967315673828,477.4463806152344,371.6204833984375,0.9999253749847412,482.9800109863281,211.59671020507812,0.9999923706054688
85,470.9326477050781,448.7896728515625,0.9999535083770752,533.1759643554688,479.1786804199219,0.9998912811279297,530.6582641601562,320.5916748046875,0.9999862909317017
86,472.1273498535156,564.7290649414062,0.9999856948852539,561.8812255859375,552.7769775390625,0.9999309778213501,509.05438232421875,414.9595642089844,0.9998002648353577
87,550.5074462890625,406.1539001464844,0.999924898147583,564.0617065429688,389.26629638671875,0.9998738765716553,498.95379638671875,262.6606140136719,0.9999876022338867
88,523.2590942382812,468.3838195800781,0.9998332262039185,536.763916015625,451.2796325683594,0.9992883801460266,472.4294738769531,324.6929931640625,0.9999744892120361
89,546.56396484375,415.31341552734375,0.9999572038650513,595.5503540039062,400.8215637207031,0.9999411106109619,552.2423706054688,254.62548828125,0.9998774528503418
